zone,state,lga,sector,ea,hhid,indiv,s4aq1,s4aq2,s4aq3,s4aq4,s4aq5,s4aq6,s4aq7,s4aq8,s4aq9,s4aq10,s4aq11,s4aq12,s4aq13a,s4aq13b,s4aq13c,s4aq14,s4aq15,s4aq16,s4aq17,s4aq18,s4aq19a,s4aq19b,s4aq19c,s4aq20,s4aq21,s4aq22a,s4aq22b,s4aq22,s4aq23,s4aq23_os,s4aq24,s4aq25,s4aq26,s4aq27a,s4aq27b,s4aq27c,s4aq28,s4aq29,s4aq30__1,s4aq30__2,s4aq30__3,s4aq30__4,s4aq30__5,s4aq30__6,s4aq30__7,s4aq30__8,s4aq30__96,s4aq30_os,s4aq31,s4aq32,s4aq33,s4aq33_os,s4aq34,s4aq35,s4aq36,s4aq36_os,s4aq37,s4aq37_os,s4aq38,s4aq40,s4aq40_code,s4aq41,s4aq41_code,s4aq41c,s4aq41c_os,s4aq42,s4aq43,s4aq44,s4aq45,s4aq46,s4aq47,s4aq47_tunit,s4aq48,s4aq49a,s4aq49b,s4aq50_1,s4aq50_2,s4aq50_3,s4aq50_4,s4aq50_5,s4aq50_6,s4aq51,s4aq52,s4aq52_os,s4aq53,s4aq54,s4aq55,s4aq56,s4aq57__1,s4aq57__2,s4aq57__3,s4aq57__4,s4aq57__5,s4aq57__6,s4aq57__7,s4aq57__8,s4aq57__9,s4aq57__10,s4aq57__96,s4aq57_os,s4aq58__0,s4aq58__1,s4aq58__2,s4aq58__3,s4aq58__4,s4aq58__5,s4aq58__6,s4aq58__7,s4aq58__8,s4aq58__9,s4aq58__10,s4aq58__11,s4aq58__12,s4aq58__13,s4aq58__14,s4aq58__15,s4aq58__16,s4aq58__17,s4aq58__18,s4aq58__19,s4aq58nb,s4aq59,s4aq60,s4aq61a,s4aq61b,s4aq62,s4aq63a,s4aq63b
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10010,2,1. YES,1. YES,,1. YES,8,2. NO,,2. NO,,2. NO,2. NO,,,,,1. Yes,,,,,,,,,"3. WORKED FARM FOR MARKET, ANY WAGE, OR ANY NFE",,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,ADMINISTRATIVE  DUTIES IN GOVERNMENT ESTABLISHMENT,2422. Policy administration professionals,ADMINISTRATIVE DUTIES IN GOVERNMENT ESTABLISHMENT,8411. General public administration activities,PUBLIC ADMINISTRATION,,3. As an employee,12,4,5,8,100000,5. ONE MONTH,2. NO,,,0,1,,,,,1. Yes,2. STATE GOVERNMENT,,2. NO,2. NO,5. 20-49,1. YES,1. YES,2. NO,1. YES,1. YES,1. YES,1. YES,1. YES,2. NO,2. NO,1. YES,2. NO,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4. EVERY WEEK,2. NO,,,2. NO,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10010,4,1. YES,1. YES,,2. NO,,2. NO,,2. NO,,2. NO,2. NO,,,,,2. No,2. NO,2. NO,,,,,,,1. NO TYPE OF WORK,2. NO,2. NO,2. No,,,,,,,,,2. NO,2. NO,,,,,,,,,,,,2. NO,,,,,,,Studying or training,,,,,,,,,,,,,,,,,,,,,,,,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,1. YES,6,0. NO MINUTES
4. South East,1. Abia,111. OSISIOMA,1. URBAN,1146,10031,1,1. YES,1. YES,,1. YES,9,2. NO,,2. NO,,2. NO,2. NO,,,,,1. Yes,,,,,,,,,"3. WORKED FARM FOR MARKET, ANY WAGE, OR ANY NFE",,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1. YES,TRANSPORTER ON GOODS AND SERVICES(BUS DRIVER),8331. Bus and tram drivers,TRANSPORTING OF PASSENGERS,5221. Service activities incidental to land transportation,TRANSPORTATION & STORAGE,,1. In own business or farming activity,10,3,6,10,10000,2. ONE DAY,2. NO,,,0,,,,,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,2. NO,,
4. South East,1. Abia,111. OSISIOMA,1. URBAN,1146,10031,2,1. YES,2. NO,1,1. YES,8,1. YES,40,1. YES,8,2. NO,2. NO,,,,,1. Yes,,,,,,,,,"3. WORKED FARM FOR MARKET, ANY WAGE, OR ANY NFE",,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,CLASS  ROOM  TEACHER IN PRIMARY  SCHOOL,2341. Primary school teachers,TEACHING  IN PRIMARY  SCHOOL,8411. General public administration activities,EDUCATION,,3. As an employee,9,3,5,8,45000,5. ONE MONTH,2. NO,,,0,1,,,,,1. Yes,2. STATE GOVERNMENT,,2. NO,1. YES,4. 10-19,1. YES,1. YES,2. NO,1. YES,1. YES,2. NO,1. YES,2. NO,2. NO,2. NO,2. NO,2. NO,,0,0,0,0,1,1,1,0,1,1,1,0,1,0,1,1,0,0,0,0,9,3. 3 WEEKS PER MONTH,2. NO,,,2. NO,,
4. South East,1. Abia,111. OSISIOMA,1. URBAN,1146,10031,3,1. YES,2. NO,1,2. NO,,2. NO,,2. NO,,2. NO,2. NO,,,,,2. No,2. NO,2. NO,,,,,,,1. NO TYPE OF WORK,2. NO,2. NO,2. No,,,,,,,,,2. NO,2. NO,,,,,,,,,,,,2. NO,,,,,,,Studying or training,,,,,,,,,,,,,,,,,,,,,,,,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,2. NO,,
4. South East,1. Abia,111. OSISIOMA,1. URBAN,1146,10031,5,1. YES,2. NO,1,2. NO,,2. NO,,2. NO,,2. NO,2. NO,,,,,2. No,2. NO,2. NO,,,,,,,1. NO TYPE OF WORK,2. NO,2. NO,2. No,,,,,,,,,2. NO,2. NO,,,,,,,,,,,,2. NO,,,,,,,Studying or training,,,,,,,,,,,,,,,,,,,,,,,,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,2. NO,,
4. South East,1. Abia,111. OSISIOMA,1. URBAN,1146,10031,1601,1. YES,2. NO,1,2. NO,,2. NO,,2. NO,,2. NO,2. NO,,,,,2. No,2. NO,2. NO,,,,,,,1. NO TYPE OF WORK,2. NO,2. NO,2. No,,,,,,,,,2. NO,2. NO,,,,,,,,,,,,2. NO,,,,,,,Studying or training,,,,,,,,,,,,,,,,,,,,,,,,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,2. NO,,
4. South East,1. Abia,111. OSISIOMA,1. URBAN,1146,10032,1,1. YES,2. NO,2,2. NO,,1. YES,42,2. NO,,2. NO,2. NO,,,,,1. Yes,,,,,,,,,"3. WORKED FARM FOR MARKET, ANY WAGE, OR ANY NFE",,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,PRODUCING OR MANUFACTURING OF CONE,"7512. Bakers, pastry-cooks and confectionery makers",MAKING OR MANUFACTURING OF ICE CREAM CONE,1071. Manufacture of bakery products,MANUFACTURING,,1. In own business or farming activity,12,4,6,7,50000,3. ONE WEEK,2. NO,,,0,1,,,,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,2. NO,,
4. South East,1. Abia,111. OSISIOMA,1. URBAN,1146,10032,2,1. YES,1. YES,,2. NO,,1. YES,42,2. NO,,2. NO,2. NO,,,,,1. Yes,,,,,,,,,"3. WORKED FARM FOR MARKET, ANY WAGE, OR ANY NFE",,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,MANUFACTURING OF ICE CREAM,7513. Dairy-products makers,MANUFACTURING OF ICE CREAM,1050. Manufacture of dairy products,MANUFACTURING,,1. In own business or farming activity,12,4,6,7,40000,3. ONE WEEK,2. NO,,,0,1,,,,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,2. NO,,
4. South East,1. Abia,111. OSISIOMA,1. URBAN,1146,10032,1801,1. YES,2. NO,2,2. NO,,2. NO,,1. YES,48,2. NO,2. NO,,,,,1. Yes,,,,,,,,,"3. WORKED FARM FOR MARKET, ANY WAGE, OR ANY NFE",,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,HELPING IN THE MANUFACTURING OF ICE CREAM,9329. Manufacturing labourers not elsewhere classified,MANUFACTURING OF ICE CREAM,1050. Manufacture of dairy products,MANUFACTURING,,3. As an employee,12,4,6,8,10000,5. ONE MONTH,2. NO,,,5,,,,,,1. Yes,"7. HOUSEHOLD(S), AS A DOMESTIC WORKER",,2. NO,2. NO,2. 2-4,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4. EVERY WEEK,2. NO,,,2. NO,,
4. South East,1. Abia,111. OSISIOMA,1. URBAN,1146,10032,2101,1. YES,2. NO,2,2. NO,,2. NO,,1. YES,48,2. NO,2. NO,,,,,1. Yes,,,,,,,,,"3. WORKED FARM FOR MARKET, ANY WAGE, OR ANY NFE",,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,HELPING IN MANUFACTURING OF ICE CREAM,9329. Manufacturing labourers not elsewhere classified,MANUFACTURING OF ICE CREAM,1050. Manufacture of dairy products,MANUFACTURING,,3. As an employee,12,4,6,8,10000,5. ONE MONTH,2. NO,,,6,,,,,,1. Yes,"7. HOUSEHOLD(S), AS A DOMESTIC WORKER",,2. NO,2. NO,2. 2-4,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4. EVERY WEEK,2. NO,,,2. NO,,
4. South East,1. Abia,111. OSISIOMA,1. URBAN,1146,10033,2,1. YES,1. YES,,1. YES,15,2. NO,,2. NO,,2. NO,2. NO,,,,,1. Yes,,,,,,,,,"3. WORKED FARM FOR MARKET, ANY WAGE, OR ANY NFE",,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,GIVING TREATMENT TO SICK PATIENTS IN THEIR HOME,5321. Health care assistants,GIVING HOME TREATMENT TO PATIENTS,8710. Residential nursing care facilities,HEALTH,,1. In own business or farming activity,12,4,7,6,3000,2. ONE DAY,2. NO,,,0,,,,,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,1. YES,1,10
4. South East,1. Abia,111. OSISIOMA,1. URBAN,1146,10033,1601,1. YES,2. NO,2,2. NO,,2. NO,,2. NO,,2. NO,2. NO,,,,,2. No,2. NO,2. NO,,,,,,,1. NO TYPE OF WORK,2. NO,2. NO,2. No,,,,,,,,,2. NO,2. NO,,,,,,,,,,,,2. NO,,,,,,,Studying or training,,,,,,,,,,,,,,,,,,,,,,,,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,1. YES,1,45
4. South East,1. Abia,111. OSISIOMA,1. URBAN,1146,10034,2,1. YES,1. YES,,2. NO,,1. YES,9,2. NO,,2. NO,2. NO,,,,,1. Yes,,,,,,,,,"3. WORKED FARM FOR MARKET, ANY WAGE, OR ANY NFE",,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,SELLING OF FOOD ITEMS IN THE MARKET,5211. Stall and market salespersons,"RETAIL SELL OF GARRI ,YAM AND OTHER FOOD ITEMS","4711. Retail sale in non-specialized stores with food, beverages or tobacco predominating",WHOLESALE & RETAIL TRADE,,1. In own business or farming activity,12,4,6,9,2000,2. ONE DAY,2. NO,,,0,,,,,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,2. NO,,
4. South East,1. Abia,111. OSISIOMA,1. URBAN,1146,10034,9,1. YES,2. NO,2,2. NO,,2. NO,,1. YES,10,2. NO,2. NO,,,,,1. Yes,,,,,,,,,"3. WORKED FARM FOR MARKET, ANY WAGE, OR ANY NFE",,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,HELPING IN HOUSEHOLD NON FARM BUSINESS,5223. Shop sales assistants,HELPING IN SELLING OF FOOD STUFF,"4711. Retail sale in non-specialized stores with food, beverages or tobacco predominating",WHOLESALE & RETAIL TRADE,,2. In a business or farm operated by a household or family member,5,2,2,5,0,,2. NO,,,,,,,,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,1. YES,1,0. NO MINUTES
4. South East,1. Abia,111. OSISIOMA,1. URBAN,1146,10034,1901,1. YES,2. NO,2,2. NO,,2. NO,,2. NO,,2. NO,2. NO,,,,,2. No,2. NO,2. NO,,,,,,,1. NO TYPE OF WORK,2. NO,2. NO,2. No,,,,,,,,,2. NO,2. NO,,,,,,,,,,,,2. NO,,,,,,,Engaged in HH/family responsibilities,,,,,,,,,,,,,,,,,,,,,,,,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,1. YES,1,30
4. South East,1. Abia,111. OSISIOMA,1. URBAN,1146,10035,1,1. YES,2. NO,2,2. NO,,1. YES,10,2. NO,,2. NO,2. NO,,,,,1. Yes,,,,,,,,,"3. WORKED FARM FOR MARKET, ANY WAGE, OR ANY NFE",,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1. YES,PROVISION  STORE  TRADER TRADING  FOODS,5211. Stall and market salespersons,SELLING  OF GOODS ON PROVISION  STORE,"4711. Retail sale in non-specialized stores with food, beverages or tobacco predominating",WHOLESALE & RETAIL TRADE,,1. In own business or farming activity,10,3,6,10,10000,5. ONE MONTH,2. NO,,,0,,,,,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,2. NO,,
4. South East,1. Abia,111. OSISIOMA,1. URBAN,1146,10035,2,1. YES,1. YES,,2. NO,,2. NO,,2. NO,,2. NO,2. NO,,,,,2. No,2. NO,2. NO,,,,,,,1. NO TYPE OF WORK,2. NO,2. NO,2. No,,,,,,,,,2. NO,2. NO,,,,,,,,,,,,2. NO,,,,,,,Doing nothing,,,,,,,,,,,,,,,,,,,,,,,,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,2. NO,,
4. South East,1. Abia,111. OSISIOMA,1. URBAN,1146,10036,1,1. YES,2. NO,2,2. NO,,1. YES,9,2. NO,,2. NO,2. NO,,,,,1. Yes,,,,,,,,,"3. WORKED FARM FOR MARKET, ANY WAGE, OR ANY NFE",,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,SELLING  OF  GOODS IN WHOLESALE  AND RETAIL(PROVISION),1420. Retail and wholesale trade managers,SELLING  ON GOODS  IN  WHOLESALE  AND RETAIL(PROVISION),"4711. Retail sale in non-specialized stores with food, beverages or tobacco predominating",WHOLESALE & RETAIL TRADE,,1. In own business or farming activity,10,3,6,9,30000,5. ONE MONTH,2. NO,,,0,,,,,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,2. NO,,
4. South East,1. Abia,111. OSISIOMA,1. URBAN,1146,10036,2,1. YES,1. YES,,2. NO,,1. YES,9,2. NO,,2. NO,2. NO,,,,,1. Yes,,,,,,,,,"3. WORKED FARM FOR MARKET, ANY WAGE, OR ANY NFE",,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,BUYING AND SELLING  OF GOODS(FOOD STUFF),1420. Retail and wholesale trade managers,BUYING  AND SELLING  OF  GOODS(FOOD STUFF   ),"4711. Retail sale in non-specialized stores with food, beverages or tobacco predominating",WHOLESALE & RETAIL TRADE,,1. In own business or farming activity,9,3,6,9,25000,5. ONE MONTH,2. NO,,,0,1,,,,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,2. NO,,
4. South East,1. Abia,111. OSISIOMA,1. URBAN,1146,10036,3,1. YES,2. NO,2,2. NO,,2. NO,,2. NO,,2. NO,2. NO,,,,,2. No,2. NO,2. NO,,,,,,,1. NO TYPE OF WORK,2. NO,2. NO,2. No,,,,,,,,,2. NO,2. NO,,,,,,,,,,,,2. NO,,,,,,,Studying or training,,,,,,,,,,,,,,,,,,,,,,,,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,2. NO,,
4. South East,1. Abia,111. OSISIOMA,1. URBAN,1146,10036,1401,1. YES,2. NO,2,2. NO,,2. NO,,2. NO,,2. NO,2. NO,,,,,2. No,2. NO,2. NO,,,,,,,1. NO TYPE OF WORK,2. NO,2. NO,2. No,,,,,,,,,2. NO,2. NO,,,,,,,,,,,,2. NO,,,,,,,Studying or training,,,,,,,,,,,,,,,,,,,,,,,,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,2. NO,,
4. South East,1. Abia,111. OSISIOMA,1. URBAN,1146,10037,1,1. YES,1. YES,,1. YES,21,2. NO,,1. YES,14,2. NO,2. NO,,,,,1. Yes,,,,,,,,,"3. WORKED FARM FOR MARKET, ANY WAGE, OR ANY NFE",,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,DOMESTIC WORK. ( CLEANING AND PARKING OF REFUGE),9111. Domestic cleaners and helpers,PARKING AND DISPOSING OF REFUGE,3811. Collection of non-hazardous waste,"WATER SUPPLY, SEWERAGE, WASTE MANAGEMENT & REMEDIATION ACTIVITIES",,3. As an employee,12,4,6,3,8000,5. ONE MONTH,2. NO,,,0,,,,,,1. Yes,"7. HOUSEHOLD(S), AS A DOMESTIC WORKER",,2. NO,2. NO,1. 1,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,1. YES,2. NO,2. NO,2. NO,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4. EVERY WEEK,2. NO,,,1. YES,8,0. NO MINUTES
4. South East,1. Abia,111. OSISIOMA,1. URBAN,1146,10038,1,1. YES,1. YES,,2. NO,,2. NO,,2. NO,,2. NO,2. NO,,,,,2. No,1. YES,,60,2. NO,,,,,"3. WORKED FARM FOR MARKET, ANY WAGE, OR ANY NFE",,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,TRANSPORTER (TOWN SERVICE),"8322. Car, taxi and van drivers",TRANSPORTER _TOWN  SERVICE,4922. Other passenger land transport,TRANSPORTATION & STORAGE,,1. In own business or farming activity,12,4,6,10,20000,3. ONE WEEK,2. NO,,,0,,,,,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,2. NO,,
4. South East,1. Abia,111. OSISIOMA,1. URBAN,1146,10038,4,1. YES,1. YES,,2. NO,,2. NO,,2. NO,,2. NO,2. NO,,,,,2. No,2. NO,2. NO,,,,,,,1. NO TYPE OF WORK,2. NO,2. NO,2. No,,,,,,,,,2. NO,2. NO,,,,,,,,,,,,2. NO,,,,,,,Studying or training,,,,,,,,,,,,,,,,,,,,,,,,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,2. NO,,
5. South South,10. Delta,1015. OSHIMILI SOUTH,1. URBAN,0,10040,1,1. YES,1. YES,,1. YES,40,2. NO,,2. NO,,2. NO,2. NO,,,,,1. Yes,,,,,,,,,"3. WORKED FARM FOR MARKET, ANY WAGE, OR ANY NFE",,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,MANAGER/SALES REPRESENTATIVES  FOR A CHEMICAL PRODUCING BUSINESS,1221. Sales and marketing managers,MANAGING THE SALES ACTIVITIES  OF A CHEMICAL PRODUCING  COMPANY.,6630. Fund management activities,MANUFACTURING,,3. As an employee,2,4,5,8,30000,5. ONE MONTH,2. NO,,,0,,,,,,1. Yes,5. PRIVATE SECTOR (INCLUDING PAID APPRENTICES),,2. NO,2. NO,4. 10-19,1. YES,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,4. EVERY WEEK,2. NO,,,2. NO,,
4. South East,1. Abia,102. ABA SOUTH,1. URBAN,1690,10051,2,1. YES,1. YES,,2. NO,,1. YES,50,2. NO,,2. NO,2. NO,,,,,1. Yes,,,,,,,,,"3. WORKED FARM FOR MARKET, ANY WAGE, OR ANY NFE",,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,MOTOR MECHANIC (BIG LORRY),7231. Motor vehicle mechanics and repairers,REPAIRING OF BIG LORRIES FOR OTHRES,4520. Maintenance and repair of motor vehicles,"PROFFESIONAL, SCIENTIFIC, TECHNICAL ACTIVITIES",,1. In own business or farming activity,12,4,6,10,150000,5. ONE MONTH,2. NO,,,0,1,,,,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,1. YES,0. NO HOUR,20
4. South East,1. Abia,102. ABA SOUTH,1. URBAN,1690,10051,3,1. YES,1. YES,,2. NO,,1. YES,40,2. NO,,2. NO,2. NO,,,,,1. Yes,,,,,,,,,"3. WORKED FARM FOR MARKET, ANY WAGE, OR ANY NFE",,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,SEWING OF CLOTHES FOR OTHERS,"7533. Sewing, embroidery and related workers",SEMSRESS(SEWING OF CLOTHES FOR OTHERS),"1392. Manufacture of made-up textile articles, except apparel",MANUFACTURING,,1. In own business or farming activity,12,4,6,8,50000,5. ONE MONTH,2. NO,,,0,1,,,,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,1. YES,0. NO HOUR,20
4. South East,1. Abia,102. ABA SOUTH,1. URBAN,1690,10051,4,1. YES,1. YES,,2. NO,,2. NO,,2. NO,,2. NO,2. NO,,,,,2. No,2. NO,2. NO,,,,,,,1. NO TYPE OF WORK,2. NO,2. NO,2. No,,,,,,,,,2. NO,2. NO,,,,,,,,,,,,2. NO,,,,,,,Studying or training,,,,,,,,,,,,,,,,,,,,,,,,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,1. YES,0. NO HOUR,20
4. South East,1. Abia,102. ABA SOUTH,1. URBAN,1690,10051,5,1. YES,2. NO,3,2. NO,,2. NO,,2. NO,,2. NO,2. NO,,,,,2. No,2. NO,2. NO,,,,,,,1. NO TYPE OF WORK,2. NO,2. NO,2. No,,,,,,,,,2. NO,2. NO,,,,,,,,,,,,2. NO,,,,,,,Studying or training,,,,,,,,,,,,,,,,,,,,,,,,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,2. NO,,
4. South East,1. Abia,102. ABA SOUTH,1. URBAN,1690,10051,6,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,14. Enugu,1412. NKANU WEST,2. RURAL,0,10052,1,1. YES,1. YES,,2. NO,,1. YES,18,2. NO,,2. NO,2. NO,,,,,1. Yes,,,,,,,,,"3. WORKED FARM FOR MARKET, ANY WAGE, OR ANY NFE",,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,"BRICKLAYER: LAY BRICKS, BLOCKS AND OTHER TYPES OF BUILDING COMPONENTS IN MORTAR TO Â CONSTRUCT AND REPAIR WALLS, FOUNDATIONS, ETC",7112. Bricklayers and related workers,CONSTRUCTING BRICKWORK BY LAYING BRICKS USING THE CORRECT MORTAR MIXTURE.,4100. Construction of buildings,CONSTRUCTION,,1. In own business or farming activity,12,4,3,6,50000,5. ONE MONTH,2. NO,,,0,,,,,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,2. NO,,
4. South East,14. Enugu,1412. NKANU WEST,2. RURAL,0,10052,2,1. YES,1. YES,,2. NO,,1. YES,40,2. NO,,2. NO,2. NO,,,,,1. Yes,,,,,,,,,"3. WORKED FARM FOR MARKET, ANY WAGE, OR ANY NFE",,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,"TRADER: RETAIL SALES OF PROVISIONS SUCH AS BISCUITS, DETERGENTS, SOFT DRINKS, ETC",1420. Retail and wholesale trade managers,RETAIL SALES OF PROVISIONS,"4711. Retail sale in non-specialized stores with food, beverages or tobacco predominating",WHOLESALE & RETAIL TRADE,,1. In own business or farming activity,12,4,6,10,40000,5. ONE MONTH,2. NO,,,0,1,,,,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,2. NO,,
4. South East,14. Enugu,1412. NKANU WEST,2. RURAL,0,10052,3,1. YES,1. YES,,2. NO,,2. NO,,2. NO,,2. NO,2. NO,,,,,2. No,2. NO,2. NO,,,,,,,1. NO TYPE OF WORK,2. NO,2. NO,2. No,,,,,,,,,2. NO,2. NO,,,,,,,,,,,,2. NO,,,,,,,Studying or training,,,,,,,,,,,,,,,,,,,,,,,,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,1. YES,1,0. NO MINUTES
4. South East,14. Enugu,1412. NKANU WEST,2. RURAL,0,10052,4,1. YES,1. YES,,2. NO,,2. NO,,2. NO,,2. NO,2. NO,,,,,2. No,2. NO,2. NO,,,,,,,1. NO TYPE OF WORK,2. NO,2. NO,2. No,,,,,,,,,2. NO,2. NO,,,,,,,,,,,,2. NO,,,,,,,Studying or training,,,,,,,,,,,,,,,,,,,,,,,,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,1. YES,0. NO HOUR,30
4. South East,14. Enugu,1412. NKANU WEST,2. RURAL,0,10052,5,1. YES,1. YES,,2. NO,,2. NO,,2. NO,,2. NO,2. NO,,,,,2. No,2. NO,2. NO,,,,,,,1. NO TYPE OF WORK,2. NO,2. NO,2. No,,,,,,,,,2. NO,2. NO,,,,,,,,,,,,2. NO,,,,,,,Studying or training,,,,,,,,,,,,,,,,,,,,,,,,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,2. NO,,
4. South East,14. Enugu,1412. NKANU WEST,2. RURAL,0,10052,6,1. YES,1. YES,,2. NO,,2. NO,,2. NO,,2. NO,2. NO,,,,,2. No,2. NO,2. NO,,,,,,,1. NO TYPE OF WORK,2. NO,2. NO,2. No,,,,,,,,,2. NO,2. NO,,,,,,,,,,,,2. NO,,,,,,,Studying or training,,,,,,,,,,,,,,,,,,,,,,,,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,2. NO,,
4. South East,14. Enugu,1412. NKANU WEST,2. RURAL,0,10052,7,1. YES,2. NO,2,2. NO,,2. NO,,2. NO,,2. NO,2. NO,,,,,2. No,2. NO,2. NO,,,,,,,1. NO TYPE OF WORK,2. NO,2. NO,2. No,,,,,,,,,2. NO,2. NO,,,,,,,,,,,,2. NO,,,,,,,Studying or training,,,,,,,,,,,,,,,,,,,,,,,,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,2. NO,,
