zone,state,lga,sector,ea,hhid,cluster,strata,wt_wave5,wt_longpanel_wave5,wt_cross_wave5,interview_result,old_new,trackedw4,trackedw5pp,hh_located,hh_moved,hh_able_toint,rspavl,consent,InterviewStart,ag1,ag1a,ag1b__1,ag1b__2,ag1b__3,ag1b__4,ag1b__5,ag1c_1,ag1c_2,ag1c_3,ag1c_os,ag2,ag3,ag4
4. South East,1. Abia,102. ABA SOUTH,1. URBAN,46,19005,102-46,4,4004.96142578125,,4548.277107176006,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-09-01T11:04:29,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,,,,,1. YES,2. NO,2. NO
4. South East,1. Abia,102. ABA SOUTH,1. URBAN,46,19006,102-46,4,4004.96142578125,,4126.903188565731,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-09-01T11:15:29,2. NO,2. NO,,,,,,16. THE HOUSEHOLD HAS NEVER BEEN ENGAGED IN AGRICULTURAL ACTIVITIES,,,,1. YES,2. NO,2. NO
4. South East,1. Abia,102. ABA SOUTH,1. URBAN,46,19007,102-46,4,3983.54248046875,,7252.473423061719,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-09-02T09:41:14,2. NO,2. NO,,,,,,16. THE HOUSEHOLD HAS NEVER BEEN ENGAGED IN AGRICULTURAL ACTIVITIES,,,,1. YES,2. NO,2. NO
4. South East,1. Abia,102. ABA SOUTH,1. URBAN,46,19008,102-46,4,3835.09521484375,,4126.903188565731,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"1. YES, MOVED CLOSE TO ORIGINAL DWELLING",1. YES,1. YES,1. YES,2023-09-01T14:43:28,2. NO,2. NO,,,,,,16. THE HOUSEHOLD HAS NEVER BEEN ENGAGED IN AGRICULTURAL ACTIVITIES,,,,1. YES,2. NO,2. NO
4. South East,1. Abia,102. ABA SOUTH,1. URBAN,46,19009,102-46,4,,,,4. UNABLE TO IDENTIFY HOUSEHOLD,2. New panel household,2. NO,1. YES,2. NO,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. URBAN,46,19010,102-46,4,3958.035888671875,,5461.81064932758,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-09-01T12:56:39,2. NO,2. NO,,,,,,16. THE HOUSEHOLD HAS NEVER BEEN ENGAGED IN AGRICULTURAL ACTIVITIES,,,,1. YES,2. NO,2. NO
4. South East,1. Abia,102. ABA SOUTH,1. URBAN,46,19012,102-46,4,3958.035888671875,,7730.700040385754,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-09-01T12:11:18,2. NO,2. NO,,,,,,13. SWITCHED TO OTHER INCOME GENERATING ACTIVITIES,,,,1. YES,2. NO,2. NO
5. South South,32. Rivers,3222. PORT HARCOURT,1. URBAN,0,19014,102-806,4,,,,7. REFUSED,2. New panel household,2. NO,1. YES,1. YES,"1. YES, MOVED CLOSE TO ORIGINAL DWELLING",1. YES,1. YES,2. NO,,,,,,,,,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. URBAN,806,19015,102-806,4,5554.353515625,,5535.845969378156,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"1. YES, MOVED CLOSE TO ORIGINAL DWELLING",1. YES,1. YES,1. YES,2023-08-04T13:14:44,2. NO,2. NO,,,,,,16. THE HOUSEHOLD HAS NEVER BEEN ENGAGED IN AGRICULTURAL ACTIVITIES,,,,1. YES,2. NO,2. NO
4. South East,14. Enugu,1412. NKANU WEST,1. URBAN,0,19017,102-806,4,5219.18994140625,,5924.399155058127,1. COMPLETE,2. New panel household,2. NO,1. YES,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-10-13T09:37:04,2. NO,1. YES,2. NO,2. NO,2. NO,1. YES,1. YES,13. SWITCHED TO OTHER INCOME GENERATING ACTIVITIES,,,,2. NO,1. YES,2. NO
4. South East,1. Abia,102. ABA SOUTH,1. URBAN,806,19018,102-806,4,5620.20458984375,,4258.2110083126045,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"1. YES, MOVED CLOSE TO ORIGINAL DWELLING",1. YES,1. YES,1. YES,2023-08-03T10:49:31,2. NO,2. NO,,,,,,16. THE HOUSEHOLD HAS NEVER BEEN ENGAGED IN AGRICULTURAL ACTIVITIES,,,,2. NO,2. NO,2. NO
4. South East,4. Anambra,402. ANAMBRA EAST,1. URBAN,0,19019,102-806,4,5620.20458984375,,6966.13496171158,1. COMPLETE,2. New panel household,2. NO,1. YES,1. YES,"1. YES, MOVED CLOSE TO ORIGINAL DWELLING",1. YES,1. YES,1. YES,2023-10-14T15:53:05,2. NO,2. NO,,,,,,16. THE HOUSEHOLD HAS NEVER BEEN ENGAGED IN AGRICULTURAL ACTIVITIES,,,,2. NO,2. NO,2. NO
4. South East,1. Abia,102. ABA SOUTH,1. URBAN,806,19020,102-806,4,5381.82958984375,,5610.283950372053,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"1. YES, MOVED CLOSE TO ORIGINAL DWELLING",1. YES,1. YES,1. YES,2023-08-06T11:33:03,2. NO,2. NO,,,,,,16. THE HOUSEHOLD HAS NEVER BEEN ENGAGED IN AGRICULTURAL ACTIVITIES,,,,1. YES,2. NO,2. NO
4. South East,1. Abia,102. ABA SOUTH,1. URBAN,806,19023,102-806,4,5381.82958984375,,5816.077719969576,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-03T11:03:39,2. NO,2. NO,,,,,,1. NO LONGER OWN LAND,,,,1. YES,2. NO,2. NO
4. South East,1. Abia,102. ABA SOUTH,1. URBAN,806,19024,102-806,4,5554.353515625,,4164.823097884441,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"1. YES, MOVED CLOSE TO ORIGINAL DWELLING",1. YES,1. YES,1. YES,2023-08-05T08:03:37,2. NO,2. NO,,,,,,16. THE HOUSEHOLD HAS NEVER BEEN ENGAGED IN AGRICULTURAL ACTIVITIES,,,,1. YES,2. NO,2. NO
4. South East,1. Abia,102. ABA SOUTH,1. URBAN,2486,19025,102-2486,4,4453.927734375,,5131.838136139916,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"1. YES, MOVED CLOSE TO ORIGINAL DWELLING",1. YES,1. YES,1. YES,2023-08-10T07:32:14,2. NO,2. NO,,,,,,16. THE HOUSEHOLD HAS NEVER BEEN ENGAGED IN AGRICULTURAL ACTIVITIES,,,,2. NO,2. NO,2. NO
4. South East,1. Abia,102. ABA SOUTH,1. URBAN,2486,19026,102-2486,4,4422.1005859375,,4194.576328425941,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-08T10:44:44,2. NO,2. NO,,,,,,16. THE HOUSEHOLD HAS NEVER BEEN ENGAGED IN AGRICULTURAL ACTIVITIES,,,,1. YES,2. NO,2. NO
4. South East,1. Abia,102. ABA SOUTH,1. URBAN,2486,19029,102-2486,4,4453.927734375,,4232.462672872145,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"1. YES, MOVED CLOSE TO ORIGINAL DWELLING",1. YES,1. YES,1. YES,2023-08-09T10:54:33,2. NO,2. NO,,,,,,16. THE HOUSEHOLD HAS NEVER BEEN ENGAGED IN AGRICULTURAL ACTIVITIES,,,,2. NO,2. NO,2. NO
4. South East,1. Abia,102. ABA SOUTH,1. URBAN,2486,19031,102-2486,4,4319.32958984375,,2779.9485571668306,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"1. YES, MOVED CLOSE TO ORIGINAL DWELLING",1. YES,1. YES,1. YES,2023-08-08T11:32:19,1. YES,2. NO,,,,,,,,,,1. YES,2. NO,2. NO
4. South East,1. Abia,102. ABA SOUTH,1. URBAN,2486,19032,102-2486,4,4651.20361328125,,3888.025529258603,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"1. YES, MOVED CLOSE TO ORIGINAL DWELLING",1. YES,1. YES,1. YES,2023-08-09T13:46:58,2. NO,1. YES,1. YES,2. NO,2. NO,2. NO,2. NO,1. NO LONGER OWN LAND,,,,1. YES,1. YES,2. NO
4. South East,1. Abia,102. ABA SOUTH,1. URBAN,2486,19033,102-2486,4,4453.927734375,,3638.62190419944,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-09T09:44:47,2. NO,2. NO,,,,,,16. THE HOUSEHOLD HAS NEVER BEEN ENGAGED IN AGRICULTURAL ACTIVITIES,,,,1. YES,2. NO,2. NO
4. South East,1. Abia,102. ABA SOUTH,1. URBAN,2486,19034,102-2486,4,,,,4. UNABLE TO IDENTIFY HOUSEHOLD,2. New panel household,2. NO,1. YES,2. NO,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. URBAN,2486,19035,102-2486,4,4626.32861328125,,3031.068870303246,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-08T10:33:14,2. NO,2. NO,,,,,,16. THE HOUSEHOLD HAS NEVER BEEN ENGAGED IN AGRICULTURAL ACTIVITIES,,,,1. YES,2. NO,2. NO
4. South East,1. Abia,102. ABA SOUTH,1. URBAN,2486,19036,102-2486,4,4651.20361328125,,3177.3275301674635,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-08T11:48:09,2. NO,2. NO,,,,,,16. THE HOUSEHOLD HAS NEVER BEEN ENGAGED IN AGRICULTURAL ACTIVITIES,,,,2. NO,2. NO,2. NO
4. South East,1. Abia,104. BENDE,2. RURAL,412,19037,104-412,4,2052.34423828125,,3220.4243543587663,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-05T13:40:50,1. YES,1. YES,1. YES,2. NO,1. YES,2. NO,1. YES,,,,,1. YES,2. NO,2. NO
4. South East,1. Abia,104. BENDE,2. RURAL,412,19038,104-412,4,2041.3680419921875,,3565.4108250839345,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-04T15:03:01,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,,,,,1. YES,2. NO,2. NO
4. South East,1. Abia,104. BENDE,2. RURAL,412,19039,104-412,4,1951.25244140625,,4826.742231531763,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-04T15:31:25,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,,,,,1. YES,2. NO,2. NO
4. South East,1. Abia,104. BENDE,2. RURAL,412,19040,104-412,4,2619.920166015625,,5393.00878143251,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"1. YES, MOVED CLOSE TO ORIGINAL DWELLING",1. YES,1. YES,1. YES,2023-08-05T15:26:49,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,,,,,1. YES,2. NO,2. NO
4. South East,1. Abia,104. BENDE,2. RURAL,412,19041,104-412,4,2052.34423828125,,4191.320118848561,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-04T16:46:07,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,,,,,1. YES,1. YES,1. YES
4. South East,1. Abia,104. BENDE,2. RURAL,412,19043,104-412,4,2028.2972412109375,,3786.6990995675187,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-05T10:30:25,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,,,,,1. YES,2. NO,2. NO
4. South East,1. Abia,104. BENDE,2. RURAL,412,19044,104-412,4,2041.3680419921875,,4395.53560761548,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"1. YES, MOVED CLOSE TO ORIGINAL DWELLING",1. YES,1. YES,1. YES,2023-08-04T12:43:45,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,,,,,1. YES,2. NO,2. NO
4. South East,1. Abia,104. BENDE,2. RURAL,412,19045,104-412,4,2052.34423828125,,4489.0009890130605,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"1. YES, MOVED CLOSE TO ORIGINAL DWELLING",1. YES,1. YES,1. YES,2023-08-04T16:47:42,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,,,,,1. YES,2. NO,2. NO
4. South East,1. Abia,104. BENDE,2. RURAL,412,19047,104-412,4,2052.34423828125,,3633.1888636260865,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-04T13:10:25,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,2. NO,,,,,1. YES,2. NO,2. NO
4. South East,1. Abia,104. BENDE,2. RURAL,412,19048,104-412,4,2052.34423828125,,3600.8299747125793,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-04T14:21:48,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,,,,,1. YES,2. NO,2. NO
4. South East,1. Abia,104. BENDE,2. RURAL,1020,19049,104-1020,4,5618.1025390625,,5163.456182566782,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-02T08:47:24,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,,,,,1. YES,2. NO,2. NO
4. South East,1. Abia,104. BENDE,2. RURAL,1020,19050,104-1020,4,5866.94287109375,,3749.5632511316094,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-07-31T14:28:26,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,,,,,1. YES,1. YES,1. YES
4. South East,1. Abia,104. BENDE,2. RURAL,1020,19051,104-1020,4,5866.94287109375,,5409.824895884006,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-07-31T14:22:25,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,,,,,1. YES,1. YES,1. YES
4. South East,1. Abia,104. BENDE,2. RURAL,1020,19052,104-1020,4,5403.970703125,,4866.100196122958,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-02T09:42:03,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,,,,,1. YES,2. NO,2. NO
4. South East,1. Abia,104. BENDE,2. RURAL,1020,19054,104-1020,4,5618.1025390625,,6030.500498212268,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-02T14:52:43,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,,,,,1. YES,2. NO,2. NO
4. South East,1. Abia,104. BENDE,2. RURAL,1020,19055,104-1020,4,5798.20068359375,,8085.692828552426,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-07-31T13:43:04,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,,,,,1. YES,2. NO,2. NO
4. South East,1. Abia,104. BENDE,2. RURAL,1020,19056,104-1020,4,5835.56591796875,,7182.071330767338,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-01T09:59:36,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,,,,,1. YES,2. NO,1. YES
4. South East,1. Abia,104. BENDE,2. RURAL,1020,19058,104-1020,4,5866.94287109375,,6366.5767922622745,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"1. YES, MOVED CLOSE TO ORIGINAL DWELLING",1. YES,1. YES,1. YES,2023-08-01T09:57:39,1. YES,2. NO,,,,,,,,,,1. YES,2. NO,2. NO
4. South East,1. Abia,104. BENDE,2. RURAL,1020,19060,104-1020,4,,,,7. REFUSED,2. New panel household,2. NO,2. NO,1. YES,"1. YES, MOVED CLOSE TO ORIGINAL DWELLING",1. YES,1. YES,2. NO,,,,,,,,,,,,,,,
4. South East,1. Abia,107. ISIALANGWA SOUTH,2. RURAL,10,19061,107-10,4,4278.0810546875,,5351.164304102157,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-14T11:25:33,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,,,,,1. YES,2. NO,2. NO
4. South East,1. Abia,107. ISIALANGWA SOUTH,2. RURAL,10,19062,107-10,4,4148.796875,,6265.279263787962,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-14T15:45:16,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,,,,,1. YES,2. NO,2. NO
4. South East,1. Abia,107. ISIALANGWA SOUTH,2. RURAL,10,19063,107-10,4,4467.568359375,,4938.138453782783,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-14T14:51:57,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,,,,,1. YES,2. NO,2. NO
4. South East,1. Abia,107. ISIALANGWA SOUTH,2. RURAL,10,19064,107-10,4,4467.568359375,,5334.504961301206,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-16T07:24:12,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,,,,,1. YES,1. YES,2. NO
4. South East,1. Abia,107. ISIALANGWA SOUTH,2. RURAL,10,19066,107-10,4,4247.51025390625,,4076.0125015283306,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-14T10:52:44,1. YES,1. YES,1. YES,2. NO,2. NO,2. NO,2. NO,,,,,1. YES,1. YES,2. NO
4. South East,1. Abia,107. ISIALANGWA SOUTH,2. RURAL,10,19068,107-10,4,4467.568359375,,4893.935343479602,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-15T07:12:20,1. YES,1. YES,1. YES,2. NO,2. NO,2. NO,2. NO,,,,,1. YES,2. NO,2. NO
4. South East,1. Abia,107. ISIALANGWA SOUTH,2. RURAL,10,19069,107-10,4,4278.0810546875,,5643.073757706405,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-14T12:12:14,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,,,,,1. YES,2. NO,2. NO
4. South East,1. Abia,107. ISIALANGWA SOUTH,2. RURAL,10,19070,107-10,4,4115.0234375,,5103.920537986739,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-14T10:23:30,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,,,,,1. YES,2. NO,2. NO
4. South East,1. Abia,107. ISIALANGWA SOUTH,2. RURAL,10,19071,107-10,4,4115.0234375,,2803.1433658614255,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-14T14:26:51,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,,,,,1. YES,2. NO,2. NO
4. South East,1. Abia,107. ISIALANGWA SOUTH,2. RURAL,10,19072,107-10,4,4148.796875,,5459.8339342592235,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-14T13:26:53,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,,,,,1. YES,2. NO,2. NO
4. South East,1. Abia,107. ISIALANGWA SOUTH,2. RURAL,1322,19073,107-1322,4,5191.296875,,5385.414117011139,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-13T08:14:28,1. YES,1. YES,1. YES,2. NO,2. NO,2. NO,2. NO,,,,,1. YES,1. YES,1. YES
4. South East,1. Abia,107. ISIALANGWA SOUTH,2. RURAL,1322,19075,107-1322,4,5029.37158203125,,5385.414117011139,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-11T11:12:52,1. YES,1. YES,1. YES,1. YES,2. NO,2. NO,2. NO,,,,,1. YES,2. NO,2. NO
4. South East,1. Abia,107. ISIALANGWA SOUTH,2. RURAL,1322,19076,107-1322,4,5431.048828125,,5627.454071244647,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-12T15:39:05,2. NO,2. NO,,,,,,14. LAND DISPUTE,,,,2. NO,2. NO,2. NO
4. South East,1. Abia,107. ISIALANGWA SOUTH,2. RURAL,1322,19077,107-1322,4,5396.27392578125,,4837.88735568741,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-11T14:11:14,1. YES,2. NO,,,,,,,,,,1. YES,2. NO,2. NO
4. South East,1. Abia,107. ISIALANGWA SOUTH,2. RURAL,1322,19079,107-1322,4,5396.27392578125,,5128.066530066549,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-12T11:16:44,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,,,,,1. YES,2. NO,2. NO
4. South East,1. Abia,107. ISIALANGWA SOUTH,2. RURAL,1322,19080,107-1322,4,5460.2509765625,,5082.1633030525445,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-11T11:19:47,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,,,,,1. YES,1. YES,2. NO
4. South East,1. Abia,107. ISIALANGWA SOUTH,2. RURAL,1322,19081,107-1322,4,5029.37158203125,,4635.78749786342,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-11T14:41:19,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,,,,,1. YES,2. NO,2. NO
4. South East,1. Abia,107. ISIALANGWA SOUTH,2. RURAL,1322,19082,107-1322,4,5029.37158203125,,5001.522069759895,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-11T13:01:42,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,,,,,1. YES,2. NO,2. NO
4. South East,1. Abia,107. ISIALANGWA SOUTH,2. RURAL,1322,19084,107-1322,4,5029.37158203125,,6868.750847906046,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-11T09:06:43,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,,,,,1. YES,2. NO,2. NO
4. South East,1. Abia,109. OBINGWA,2. RURAL,1214,19085,109-1214,4,3682.9541015625,,6109.2675263147075,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-24T10:53:27,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,,,,,1. YES,1. YES,2. NO
4. South East,1. Abia,109. OBINGWA,2. RURAL,1214,19087,109-1214,4,3682.9541015625,,6581.762901264227,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-23T13:47:09,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,,,,,1. YES,2. NO,2. NO
4. South East,1. Abia,109. OBINGWA,2. RURAL,1214,19088,109-1214,4,3770.583740234375,,4671.326161265959,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-23T11:10:40,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,,,,,1. YES,2. NO,2. NO
4. South East,1. Abia,109. OBINGWA,2. RURAL,1214,19089,109-1214,4,3682.9541015625,,4669.698100311172,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-23T14:59:19,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,,,,,1. YES,2. NO,2. NO
4. South East,1. Abia,109. OBINGWA,2. RURAL,1214,19091,109-1214,4,3797.7216796875,,7365.681349554424,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-24T17:27:07,1. YES,2. NO,,,,,,,,,,1. YES,2. NO,2. NO
4. South East,1. Abia,109. OBINGWA,2. RURAL,1214,19092,109-1214,4,3682.9541015625,,6103.541275395833,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-24T08:20:48,1. YES,2. NO,,,,,,,,,,1. YES,2. NO,2. NO
4. South East,1. Abia,109. OBINGWA,2. RURAL,1214,19093,109-1214,4,3652.972900390625,,5799.926760732453,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-23T10:55:06,1. YES,2. NO,,,,,,,,,,1. YES,2. NO,2. NO
4. South East,1. Abia,109. OBINGWA,2. RURAL,1214,19094,109-1214,4,3652.972900390625,,4911.89131063529,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-23T11:00:13,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,,,,,1. YES,2. NO,2. NO
4. South East,1. Abia,109. OBINGWA,2. RURAL,1214,19095,109-1214,4,3770.583740234375,,7313.227867438409,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-23T11:35:47,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,,,,,1. YES,2. NO,2. NO
